update_date,corp_date,corp_name,corp_rate,key_id
2016-06-19,2011-09-28,3778,200,377820110928
2016-06-19,2011-09-28,3793,5,379320110928
2016-06-19,2011-09-28,4290,200,429020110928
2016-06-19,2011-09-28,4336,100,433620110928
2016-06-19,2011-09-28,4708,2,470820110928
2016-06-19,2011-09-28,6670,100,667020110928
2016-06-19,2011-09-28,7541,1.5,754120110928
2016-06-19,2011-09-28,7570,1.1,757020110928
2016-06-19,2011-09-28,8086,2,808620110928
2016-06-19,2011-09-28,8630,0.25,863020110928
2016-06-19,2011-09-28,8715,4,871520110928
2016-06-19,2011-09-28,8767,300,876720110928
2016-06-19,2011-09-28,8795,2,879520110928
2016-06-19,2011-09-28,8798,100,879820110928
2016-06-19,2011-09-28,9707,0.1,970720110928
2016-06-19,2011-10-27,2186,2,218620111027
2016-06-19,2011-10-27,7148,3,714820111027
2016-06-19,2011-10-27,8975,7,897520111027
2016-06-19,2011-11-15,3366,100,336620111115
2016-06-19,2011-11-28,2796,3,279620111128
2016-06-19,2011-11-28,3166,1.2,316620111128
2016-06-19,2011-11-28,3228,2,322820111128
2016-06-19,2011-11-28,7552,2,755220111128
2016-06-19,2011-11-28,8410,1000,841020111128
2016-06-19,2011-11-28,8887,2,888720111128
2016-06-19,2011-12-15,3727,100,372720111215
2016-06-19,2011-12-28,2177,2,217720111228
2016-06-19,2011-12-28,2384,100,238420111228
2016-06-19,2011-12-28,3113,1.0811,311320111228
2016-06-19,2011-12-28,3385,100,338520111228
2016-06-19,2011-12-28,3831,200,383120111228
2016-06-19,2011-12-28,4286,2,428620111228
2016-06-19,2011-12-28,7438,2,743820111228
2016-06-19,2011-12-28,8283,1.5,828320111228
2016-06-19,2012-01-27,3656,5,365620120127
2016-06-19,2012-01-27,3811,200,381120120127
2016-06-19,2012-01-27,9994,1.1,999420120127
2016-06-19,2012-02-27,3243,300,324320120227
2016-06-19,2012-02-27,3655,3,365520120227
2016-06-19,2012-02-27,7611,1.2,761120120227
2016-06-19,2012-03-15,6861,1.1,686120120315
2016-06-19,2012-03-28,2127,200,212720120328
2016-06-19,2012-03-28,2130,100,213020120328
2016-06-19,2012-03-28,2158,2,215820120328
2016-06-19,2012-03-28,2173,200,217320120328
2016-06-19,2012-03-28,2198,2,219820120328
2016-06-19,2012-03-28,2487,3,248720120328
2016-06-19,2012-03-28,2782,500,278220120328
2016-06-19,2012-03-28,2882,3,288220120328
2016-06-19,2012-03-28,3034,100,303420120328
2016-06-19,2012-03-28,3276,2,327620120328
2016-06-19,2012-03-28,3392,200,339220120328
2016-06-19,2012-03-28,3640,2,364020120328
2016-06-19,2012-03-28,3750,1.5294,375020120328
2016-06-19,2012-03-28,3756,3,375620120328
2016-06-19,2012-03-28,3844,300,384420120328
2016-06-19,2012-03-28,4350,2,435020120328
2016-06-19,2012-03-28,4583,2,458320120328
2016-06-19,2012-03-28,4719,1.2,471920120328
2016-06-19,2012-03-28,4771,100,477120120328
2016-06-19,2012-03-28,4923,1.1,492320120328
2016-06-19,2012-03-28,6638,200,663820120328
2016-06-19,2012-03-28,7518,200,751820120328
2016-06-19,2012-03-28,8985,12,898520120328
2016-06-19,2012-03-28,8999,100,899920120328
2016-06-19,2012-04-25,2438,100,243820120425
2016-06-19,2012-04-25,3654,2,365420120425
2016-06-19,2012-04-25,3843,400,384320120425
2016-06-19,2012-04-25,7968,0.1,796820120425
2016-06-19,2012-04-25,8945,2,894520120425
2016-06-19,2012-05-29,2130,2,213020120529
2016-06-19,2012-05-29,2303,100,230320120529
2016-06-19,2012-05-29,2687,2,268720120529
2016-06-19,2012-05-29,3021,100,302120120529
2016-06-19,2012-05-29,3073,2,307320120529
2016-06-19,2012-05-29,3353,100,335320120529
2016-06-19,2012-05-29,3662,3,366220120529
2016-06-19,2012-05-29,4350,2,435020120529
2016-06-19,2012-05-29,8508,2,850820120529
2016-06-19,2012-05-29,8767,2,876720120529
2016-06-19,2012-05-29,9206,2,920620120529
2016-06-19,2012-06-14,1773,1.0666,177320120614
2016-06-19,2012-06-27,2170,2,217020120627
2016-06-19,2012-06-27,2369,100,236920120627
2016-06-19,2012-06-27,2428,100,242820120627
2016-06-19,2012-06-27,2914,200,291420120627
2016-06-19,2012-06-27,3082,200,308220120627
2016-06-19,2012-06-27,3166,1.5,316620120627
2016-06-19,2012-06-27,3242,2,324220120627
2016-06-19,2012-06-27,3620,100,362020120627
2016-06-19,2012-06-27,3660,2,366020120627
2016-06-19,2012-06-27,3769,200,376920120627
2016-06-19,2012-06-27,3775,1.3,377520120627
2016-06-19,2012-06-27,3808,100,380820120627
2016-06-19,2012-06-27,3831,2,383120120627
2016-06-19,2012-06-27,4755,100,475520120627
2016-06-19,2012-06-27,6054,2,605420120627
2016-06-19,2012-06-27,6156,100,615620120627
2016-06-19,2012-06-27,6874,1.2,687420120627
2016-06-19,2012-06-27,9384,2,938420120627
2016-06-19,2012-07-11,1757,0.01,175720120711
2016-06-19,2012-07-27,3661,2,366120120727
2016-06-19,2012-07-27,8714,0.2,871420120727
2016-06-19,2012-08-29,2196,3,219620120829
2016-06-19,2012-08-29,2379,100,237920120829
2016-06-19,2012-08-29,3085,3,308520120829
2016-06-19,2012-08-29,3170,2,317020120829
2016-06-19,2012-08-29,3826,200,382620120829
2016-06-19,2012-08-29,7777,2,777720120829
2016-06-19,2012-08-29,7847,100,784720120829
2016-06-19,2012-09-26,1890,0.2,189020120926
2016-06-19,2012-09-26,1929,0.25,192920120926
2016-06-19,2012-09-26,2132,500,213220120926
2016-06-19,2012-09-26,2176,100,217620120926
2016-06-19,2012-09-26,2179,2,217920120926
2016-06-19,2012-09-26,2345,100,234520120926
2016-06-19,2012-09-26,2374,100,237420120926
2016-06-19,2012-09-26,2413,3,241320120926
2016-06-19,2012-09-26,2468,200,246820120926
2016-06-19,2012-09-26,2656,100,265620120926
2016-06-19,2012-09-26,2767,100,276720120926
2016-06-19,2012-09-26,2928,100,292820120926
2016-06-19,2012-09-26,3069,100,306920120926
2016-06-19,2012-09-26,3079,2,307920120926
2016-06-19,2012-09-26,3276,2,327620120926
2016-06-19,2012-09-26,3620,2,362020120926
2016-06-19,2012-09-26,3640,2,364020120926
2016-06-19,2012-09-26,3649,2,364920120926
2016-06-19,2012-09-26,3738,200,373820120926
2016-06-19,2012-09-26,3768,100,376820120926
2016-06-19,2012-09-26,3774,200,377420120926
2016-06-19,2012-09-26,3785,100,378520120926
2016-06-19,2012-09-26,3794,2,379420120926
2016-06-19,2012-09-26,4239,200,423920120926
2016-06-19,2012-09-26,4298,2,429820120926
2016-06-19,2012-09-26,4344,100,434420120926
2016-06-19,2012-09-26,4345,100,434520120926
2016-06-19,2012-09-26,5009,0.1,500920120926
2016-06-19,2012-09-26,6157,2,615720120926
2016-06-19,2012-09-26,6993,0.1,699320120926
2016-06-19,2012-09-26,7749,10,774920120926
2016-06-19,2012-09-26,7837,100,783720120926
2016-06-19,2012-09-26,8014,0.1,801420120926
2016-06-19,2012-09-26,8473,10,847320120926
2016-06-19,2012-09-26,8803,0.2,880320120926
2016-06-19,2012-09-26,8938,100,893820120926
2016-06-19,2012-09-26,9022,100,902220120926
2016-06-19,2012-09-26,9404,10,940420120926
2016-06-19,2012-09-26,9409,100,940920120926
2016-06-19,2012-09-26,9433,100,943320120926
2016-06-19,2012-09-26,9436,100,943620120926
2016-06-19,2012-09-26,9478,100,947820120926
2016-06-19,2012-10-12,3250,1.157,325020121012
2016-06-19,2012-10-29,3658,2,365820121029
2016-06-19,2012-11-28,2459,100,245920121128
2016-06-19,2012-11-28,2471,100,247120121128
2016-06-19,2012-11-28,3230,100,323020121128
2016-06-19,2012-11-28,3655,2,365520121128
2016-06-19,2012-11-28,7835,100,783520121128
2016-06-19,2012-11-28,8892,100,889220121128
2016-06-19,2012-12-06,2180,4,218020121206
2016-06-19,2012-12-26,1408,2,140820121226
2016-06-19,2012-12-26,2124,10,212420121226
2016-06-19,2012-12-26,2169,200,216920121226
2016-06-19,2012-12-26,2174,100,217420121226
2016-06-19,2012-12-26,2325,100,232520121226
2016-06-19,2012-12-26,2375,300,237520121226
2016-06-19,2012-12-26,2389,200,238920121226
2016-06-19,2012-12-26,2461,100,246120121226
2016-06-19,2012-12-26,2485,2,248520121226
2016-06-19,2012-12-26,2492,200,249220121226
2016-06-19,2012-12-26,3241,1000,324120121226
2016-06-19,2012-12-26,3386,100,338620121226
2016-06-19,2012-12-26,3622,100,362220121226
2016-06-19,2012-12-26,3661,2,366120121226
2016-06-19,2012-12-26,4286,100,428620121226
2016-06-19,2012-12-26,6065,3,606520121226
2016-06-19,2012-12-26,6067,3,606720121226
2016-06-19,2012-12-26,6069,2,606920121226
2016-06-19,2012-12-26,6134,2,613420121226
2016-06-19,2012-12-26,6769,100,676920121226
2016-06-19,2012-12-26,8697,100,869720121226
2016-06-19,2012-12-26,8909,100,890920121226
2016-06-19,2012-12-26,8946,100,894620121226
2016-06-19,2012-12-26,9441,100,944120121226
2016-06-19,2013-01-04,3657,2,365720130104
2016-06-19,2013-01-07,8737,0.1,873720130107
2016-06-19,2013-01-29,3070,200,307020130129
2016-06-19,2013-01-29,3175,3,317520130129
2016-06-19,2013-01-29,3399,100,339920130129
2016-06-19,2013-01-29,3654,2,365420130129
2016-06-19,2013-01-29,8912,100,891220130129
2016-06-19,2013-02-06,2930,4,293020130206
2016-06-19,2013-02-13,3629,2,362920130213
2016-06-19,2013-02-26,2338,100,233820130226
2016-06-19,2013-02-26,2484,100,248420130226
2016-06-19,2013-02-26,2726,2,272620130226
2016-06-19,2013-02-26,2735,2,273520130226
2016-06-19,2013-02-26,2764,300,276420130226
2016-06-19,2013-02-26,3027,500,302720130226
2016-06-19,2013-02-26,3350,100,335020130226
2016-06-19,2013-02-26,3440,200,344020130226
2016-06-19,2013-02-26,4763,100,476320130226
2016-06-19,2013-02-26,8771,2,877120130226
2016-06-19,2013-02-26,8904,100,890420130226
2016-06-19,2013-02-26,8954,5,895420130226
2016-06-19,2013-02-26,8984,2,898420130226
2016-06-19,2013-02-26,9381,2,938120130226
2016-06-19,2013-03-06,3669,5,366920130306
2016-06-19,2013-03-14,3587,0.2,358720130314
2016-06-19,2013-03-27,1738,2,173820130327
2016-06-19,2013-03-27,1757,1.25,175720130327
2016-06-19,2013-03-27,1909,2,190920130327
2016-06-19,2013-03-27,2121,100,212120130327
2016-06-19,2013-03-27,2122,200,212220130327
2016-06-19,2013-03-27,2136,100,213620130327
2016-06-19,2013-03-27,2150,100,215020130327
2016-06-19,2013-03-27,2175,200,217520130327
2016-06-19,2013-03-27,2198,2,219820130327
2016-06-19,2013-03-27,2317,100,231720130327
2016-06-19,2013-03-27,2326,100,232620130327
2016-06-19,2013-03-27,2342,100,234220130327
2016-06-19,2013-03-27,2371,2,237120130327
2016-06-19,2013-03-27,2398,2,239820130327
2016-06-19,2013-03-27,2411,200,241120130327
2016-06-19,2013-03-27,2445,2,244520130327
2016-06-19,2013-03-27,2475,200,247520130327
2016-06-19,2013-03-27,2479,200,247920130327
2016-06-19,2013-03-27,2483,100,248320130327
2016-06-19,2013-03-27,2488,100,248820130327
2016-06-19,2013-03-27,2931,5,293120130327
2016-06-19,2013-03-27,3042,100,304220130327
2016-06-19,2013-03-27,3043,100,304320130327
2016-06-19,2013-03-27,3245,100,324520130327
2016-06-19,2013-03-27,3252,100,325220130327
2016-06-19,2013-03-27,3276,2,327620130327
2016-06-19,2013-03-27,3359,200,335920130327
